0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.42,-0.6,-0.3,-0.6,-0.42,-0.8000001,-0.4,-0.70000005,-0.4,-0.70000005,-0.70000005,-0.5,-0.4,-0.4,-0.42,-0.4,-0.4,-0.8000001,-0.2,-0.5
-0.52,-0.6,-0.6,-0.5,-0.52,-0.8000001,-0.6,-0.5,-0.6,-0.70000005,-0.70000005,-0.6,-0.5,-0.4,-0.32,-0.5,-0.4,-1.1000001,-0.1,-0.5
-0.54,-0.38,-0.53999996,-0.47,-0.12999998,-0.06000002,-0.67,-0.36999997,-0.5,-0.55,-0.44,-0.61,-0.6,-0.38,-0.32,-0.44,-0.5,-0.04999997,-0.3,-0.35
-0.67,-0.6,-0.33999997,-0.70000005,-0.14999996,-0.58,-0.8000001,-0.64,-0.42,-0.44999993,-0.70000005,-0.8000001,-0.5,-0.6,-0.69,-0.5,-0.72,-0.34999987,0.020000026,-0.64
-0.56,-0.5,-0.5,-0.5,-0.45999998,-0.6,-0.6,-0.4,-0.4,-0.5,-0.5,-0.5,-0.2,-0.4,-0.45999998,-0.4,-0.5,-0.9000001,-0.5,-0.70000005
-0.24000001,-0.6,-0.33999997,-0.5,-0.52,-0.37999994,-0.5,-0.64,-0.22,-0.29999992,-0.3,-0.5,-0.4,-0.4,-0.35999998,-0.70000005,-0.42,-0.6000001,0.020000026,-0.53999996
-0.82000005,-0.8000001,0.100000024,-0.72,-0.39999992,-0.27999985,-0.6,-0.92000014,-0.5,-0.5999999,-0.8000001,-0.52,-0.2,-0.37999994,-0.72,-0.70000005,-0.70000005,-0.24999985,0.100000024,-0.6800001
-0.57,-0.70000005,-0.5,-0.6,-0.67,-0.6,-0.70000005,-0.6,-0.4,-0.7200001,-0.6,-0.70000005,-0.4,-0.5,-0.47,-0.5,-0.4,-0.6,-0.1,-0.39999998
-0.6,-1.1800002,-0.43,-0.9500001,0.15000015,-0.009999916,-0.8600001,-0.7900002,-0.63000005,-0.57000005,-0.9300001,-0.9500001,-0.23000002,-0.9100002,-0.71000004,-0.59000003,-0.7300001,0.15000015,-0.100000046,-0.8000001
-0.56,-0.6,-0.3,-0.29999998,-0.42,-0.6,-0.44000006,-0.6,-0.38000003,-0.6,-0.62000006,-0.7,-0.36,-0.40000004,-0.4,-0.32000002,-0.56,-0.8,-0.22000001,-0.7
-0.58000004,-0.5500001,-0.5,-0.51000005,-0.29999998,-0.28000003,-0.72000015,-0.47,-0.23000002,-0.45000005,-0.59000003,-0.52000004,-0.23000002,-0.33,-0.1,-0.23000002,-0.36,-0.6000001,-0.2,-0.6500001
-0.24000001,-0.6,-0.36,-0.5,-0.11,-0.36999997,-0.4,-0.46,-0.43,-0.5500001,-0.3,-0.4,-0.4,-0.6,-0.17,-0.5,-0.43,-0.35,0.080000006,-0.76000005
-0.32999998,-0.34999993,-0.55999994,-0.44999996,-0.14999998,-0.55,-0.8700002,-0.34999993,-0.61,-0.55,-0.57000005,-0.42999995,-0.31,-0.44999996,-0.12999998,-0.22,-0.51000005,-0.36999992,-0.4,-0.55
-0.40999994,-0.5199999,-0.59999996,-0.49999988,0.5700001,0.11000013,-0.59000003,-0.3899999,-0.76000005,-0.19999991,-0.76000005,-0.71,-0.56,-0.5199999,-0.46999994,-0.45999995,-0.66,0.4000002,-0.70000005,-0.53999996
-0.56,-0.9000001,-0.4,-0.5,-0.76000005,-0.5500001,-0.6,-0.8000001,-0.5,-0.51,-0.70000005,-0.70000005,-0.5,-0.3,-0.56,-0.5,-0.4,-0.7500001,-0.3,-0.75000024
-0.35,-0.5,-0.13999999,-0.4,-0.53,-0.78,-0.5,-0.33999997,-0.32,-0.49999997,-0.5,-0.5,-0.3,-0.4,-0.26999998,-0.3,-0.32,-0.7,0.12000002,-0.43999997
